!! Abja-Paluoja
Abja tee
Aia tänav
Aiandi tänav
Hariduse tänav
Jaama tänav
Järve tänav
Kaare tänav
Kangru tänav
Karja tänav
Kastani tänav
Kirsi tänav
Kivi tänav
Koidu tänav
Kooli tänav
Lille tänav
Lina tänav
Lühike tänav
Metsa tänav
Mäe tänav
Männi tänav
Nuia tee
Valga - Uulu tee
Nurme tänav
Oru tänav
Pargi tänav
Pilve tänav
Posti tänav
Pärnu maantee
Põhja tänav
Põllu tänav
Raudtee tänav
Roheline tänav
Rohu tänav
Sarja tee
Soo tänav
Staadioni tänav
Tiigi tänav
Tikuti tänav
Toome tänav
Uus tänav
Veski tänav
Viljandi tee
!! Elva
Aasa tänav
Aia tänav
Aiandi tänav
Allika tänav
Ao tänav
Apteegi tänav
Arbimäe tänav
Betooni tänav
Eha tänav
Hugo Raudsepa tänav
Heina tänav
Herne tänav
Hämariku tänav
Jaama tänav
Jaani tänav
Jaan Kärneri tänav
Juhan Liivi tänav
Jõe tänav
Järve tänav
Kadaka tänav
Kaja tänav
Kalda tänav
Kanarbiku tänav
Kase tänav
Kesk tänav
Kingu tänav
Kirde tänav
Kirde põik
Kirdekaare tänav
Kirsi tänav
Kitsas tänav
Koidu tänav
Kreegi tänav
Kruusa tänav
Kruusa põik
Kullese tänav
Kure tänav
Kuuse tänav
Kõrre tänav
Käo tee
Käärdi tee

Laane tänav
Lauliku tänav
Lepa tänav
Liiva tänav
Lille tänav
Lohu tänav
Lokuta tee
Loode tänav
Lootuse tänav
Lõuna tänav

Mahlamäe tänav
Marja tänav
Metsa tänav
Muru tänav
Mäe tänav
Männa tänav

Nooruse tänav
Nurme tänav
Nuti tänav
Nõlvaku tänav
Nõmme tänav

Oja tänav
Oru tänav

Paju tänav
Palu tee
Palupera tee
Pargi tänav
Peedu tee
Pikk tänav
Ploomi tänav
Puiestee tänav
Purde tänav
Põhja tänav
Põik tänav
Põllu tänav
Pärna tänav
Rahu tänav
Raja tänav
Raudtee tänav
Ristiku tänav
Saare tänav
Side tänav
Sireli tänav
Soo tänav
Supelranna tänav
Suvila tänav
Tamsa tee
Tartu maantee
Tiigi tänav
Tulbi tänav
Tuletõrje tänav
Turuplatsi tänav
Tähe tänav
Tööstuse tänav

Ujula tänav
Urva tänav
Uus tänav
Uuta tee

Vahe tänav
Vahtra tänav
Vaikne tänav
Valga maantee
Vambola tänav
Vana-Koidu tänav
Vapramäe tänav
Vapramäe põik
Vellavere tee
Veski tänav
Videviku tänav
Vikerkaare tänav
Väike tänav
Väike-Nõlvaku tänav
Väike-Tähe tänav

Õie tänav
Õuna tänav

Ääre tänav

!! Anstla
F.R.Kreutzwaldi tänav

Haigla tänav
Hämariku tänav

Jaani tänav
Järve tänav
Järveääre tänav

Kaare tänav
Kalda tänav
Kanarbiku tänav
Karjasoo tänav
Kooli tee
Kähri tänav

Liiva tänav
Lõuna tänav

Metsa tänav
Mäe tänav
Männi puiestee

Nurme tänav

Oru tänav
Oru põik

Pargi tänav
Posti tänav
Pumba tänav
Põik tänav
Põllu tänav
Pärna tänav
Pärna tänav II

Raudtee tänav

Saare tänav
Soo tänav

Tamme tänav
Tehnika tänav
Tiigi tänav
Tsooru maantee
Tuleviku tänav
Tööstuse tänav

Uus tänav

Veski tänav
Villaliina tänav
Võidu tänav

Ööbiku tänav

Ülase tänav
Ülesõidu tänav

!! Haapsalu
Aia
Aiavilja
Aida

O. Cheri

Eha
Ehte
Endla

Haava
Haava põik
Holmi
Holmi kallas
Hommiku kallas

Jaama
Jaani
Jalaka
Jüriöö

Kaardiväe
Kadaka
Kalda
Kalevi
Kalmistu
Kaluri
Karja
Kase
Kastani
Kauba
Kiltsi tee
V. Kingissepa
Koidu
L. Koidula
Komsomoli
Kooli
Kopli
Krahvi puiestee
F. R. Kreutzwaldi
Kuuse
Kõlakoja
Kõrkja
Kõver
Käbi

Lahe
Lai
Lao
Laskuri
J. Lauristini
Lehe
Lehise
Lembitu
Lepa
Lihula maantee
Lille
Linda
Lossiplats
Luha
Lühike

Mere puiestee
Metsa
Mihkli
Mulla
Mulla põik
Mõtuse
Mäe
Mängu
Männi
Männiku tee

Neidude
Niine
Niine põik
Nurme
Nõukogude

Oja
Osmussaare Kaitsjate väljak

Paju
Pargi
Pargi põik
Partisani
Pihlaka
Pioneeri
Posti
Potissepa
Promenaadi
Põllu
Pärna
Pääsukese

Rahu
Ranna tee
Raudtee
Raudteetammi tee
Roo
Räägu
Rüütli
Rüütli põik

Saare
Sadama
Sambla
Saue
Sauna põik
Sireli
Staadioni
Supeluse
Surnuaia
Suur-Liiva
Suur-Lossi
Suur-Mere

Tallinna maantee
Tamme
A. H. Tammsaare
Tankisti
Tedre
Tellisetehase
Tihase
Tiigi
Toominga
P. Tšaikovski puiestee
Turu
Tööstuse
Tüve

Ungru tee
Uus
Uus-Mihkli
Uus-Põllu
Uus-Sadama

Vaba
Vahtra
Vahtra põik
Vaikne
Vaikne kallas
Vee
E. Vilde
Võidu
Võidu väljak
Võitleja
Võnnu
Väike-Liiva
Väike-Lossi
Väike-Mere
Väike-Viigi

Westmeri
F. J. Wiedemanni

Õhtu kallas
Õpetaja

Ööbiku

!! Jõgeva
Aasa tänav
Aia tänav
Allika tänav

Betti Alveri tänav

Energia tänav
Estakaadi tänav

Julius Aamisepa tänav
Jaama tänav
Jõe tänav

Kalda tänav
Kesk tänav
Kingu tänav
Kirsi tänav
Kivi tänav
Kooli tänav
Kruusa tänav
Kuuse tänav

Lai tänav
Lao tänav
Lepiku tänav
Liiva tänav
Lille tänav

Mustvee maantee

Niidu tänav
Nurme tänav

Pae tänav
Pargi tänav
Piiri tänav
Puiestee tänav
Pärna tänav
Põik tänav
Põllu tänav

Ravila tänav
Ristiku tee
Ristiku tänav
Rohu tänav
Roosi tänav

Sarapuu tänav
Sauna tänav
Staadioni tänav
Suislepa tänav
Suur tänav
Suvila tänav
Sõnajala tänav

Tallinna maantee
Tamme tänav
Tartu maantee
Tellise tänav
Tellissaare tänav
Toominga tänav
Tulika tänav
Turu tänav
Tähe tänav

Uus tänav

Vainu tänav
Välja tänav

Ülase tänav

!! Jõhvi
Aasa
Allika

Eha

Hariduse
Voldemar Härma tänav

Jaani
Jaama

Kaare
Kaasiku
Kalmistu
Keskväljak
Kevade
Kirde
Kirsi
Kivi
Koidu
Kooli
Kraavi
Kruusa
Kungla
Kutse
Küti

Lennuki
Lepa
Lille
Linda
Loode
Lääne

Malmi
Marja
Mooni
Mulla
Mureli
Muru
Mäe

Narva maantee
Nelgi
Niidu
Nõmme
Nooruse

Oja
Oru
Oru põik

Pae
Pargi
Pirni
Ploomi
Puru tee
Põllu

Rahu
Rahu põik
Raja
Rakvere
Raudtee tee
Ristiku
Rohu
Roosi

Salme
Side
Sihi
Sompa
Soo
Soo põik
II Soo põik
Sulevi
Sütiste
Säde

A. H. Tammsaare
Tartu maantee
II Tartu põik
III Tartu põik
Tiigi
Tulbi
Toila

Uus tee
Uus Võsa

Vaarika
Vahe
Veski
Vilja
Viru
Välja

Ülesõidu

!! Kallaste
Aasa tänav
Aia tänav

Jaani tänav

Kalda tänav
Kase tänav
Kevade tänav
Kesa tänav
Keskväljak
Kiriku tänav

Liiva tänav

1.Mai tänav
Mäe tänav

Niidu tänav

Oja tänav
Oktoobri tänav

Pihlaka tänav
Põhja tänav
Põllu tänav

Rahu tänav
Roheline tänav

Sadama tänav
Sillaotsa tänav
Staadioni tänav
Sõpruse tänav

Toominga tänav
Turu tänav
Tööstuse tänav

Uus tänav

Võidu tänav

Õnne tänav
!! Kärdla
Aia
Aia põik
Alato tänav
Allika

Eha

Hausma tee
Heltermaa maantee
Hiiu

Kaare
Kabeli
Kajaka
Kalamaja
Kalda
Kanarbiku
Karja
Kase
Keskväljak
Koidu
Kooli
Kopli
Kraavi
Kõrgessaare maantee
Käina maantee
Künka

Ladva
Leigri väljak
Lepiku
Liiva
Linnumäe
Lodju
Loigu
Lubjaahju
Luite

Marja
Mere
Metsa
Metsa põik
Männiku

Nuutri
Nõmme

Oja

Padu
Pae
Paju
Pargi
Pikk
Posti
Posti põik
Põllu

Rahu
Ranna
Rehemäe tee
Rookopli
Rootsi

Sadama
Sambliku
Sanglepa
Seene
Sireli
Sõnajala

Tiigi
Tiigi põik
Tormi
Tüve

Uus

Vabaduse
Vabaduse põik
Vabrikuväljak
Valli
Vesiroosi
Väike-Aia
Väike-Liiva
Väike-Sadama
Väike-Tiigi

Ümarmäe

!! Karksi-Nuia
Aasa tänav
Aia tänav
